Trip_ID,Date,City,Driver_ID,Vehicle_Type,Distance_km,Fare_Amount,Rating,Surge_Pricing,Trip_Duration_min,Cancelled
T5048,2025-05-14,Denver,D1015,Compact,18.96,30.57,5.0,No,29.0,No
T5049,2025-03-01,Denver,D1009,Sedan,21.03,34.59,4.9,No,32.1,No
T5050,2025-05-30,New York,D1036,Sedan,10.47,18.65,3.7,No,24.9,No
T5051,2025-05-20,Seattle,D1014,Sedan,7.81,17.04,3.9,No,8.7,No
T5052,2025-04-30,Chicago,D1039,Sedan,15.14,23.82,5.0,No,29.8,No
T5053,2025-02-16,New York,D1016,Sedan,7.02,15.34,5.0,No,5.6,No
T5054,2025-03-06,New York,D1030,Compact,0.5,1.29,4.0,No,2.0,No
T5055,2025-01-08,Chicago,D1012,SUV,4.58,11.09,5.0,No,16.8,No
T5056,2025-03-07,Austin,D1010,Sedan,22.41,35.05,5.0,No,39.6,No
T5057,2025-03-21,Seattle,D1024,Sedan,8.38,14.8,4.5,No,12.4,No
T5058,2025-06-25,Seattle,D1007,SUV,7.09,15.47,4.5,No,10.8,No
T5059,2025-01-04,Denver,D1031,Compact,25.23,38.13,4.2,No,40.6,No
T5060,2025-06-16,Austin,D1039,SUV,1.07,6.65,4.3,No,2.0,No
T5061,2025-01-23,Austin,D1028,Compact,0.5,4.0,4.9,No,10.4,No
T5062,2025-02-24,Austin,D1016,Compact,19.08,27.85,4.8,No,43.9,No
T5063,2025-04-15,Denver,D1035,SUV,6.96,12.84,4.5,No,12.2,No
T5064,2025-06-27,Chicago,D1019,Sedan,2.47,9.02,4.7,No,10.4,No
T5065,2025-04-27,Austin,D1019,Compact,13.8,40.06,5.0,Yes,24.4,No
T5066,2025-05-31,Seattle,D1038,Compact,12.82,21.74,4.8,No,21.7,No
T5067,2025-03-12,New York,D1003,Sedan,5.19,9.98,4.8,No,2.0,No
T5068,2025-05-01,Denver,D1028,Compact,19.15,29.74,4.8,No,33.3,No
T5069,2025-05-28,New York,D1009,Compact,2.23,5.17,5.0,No,10.0,No
T5070,2025-06-08,Chicago,D1033,Sedan,12.51,20.6,5.0,No,15.0,No
T5071,2025-01-26,Chicago,D1013,Compact,12.14,20.7,5.0,No,23.1,No
T5072,2025-05-01,Austin,D1002,Compact,6.67,9.09,3.7,No,6.8,No
T5073,2025-06-10,Seattle,D1012,Sedan,0.5,3.6,4.5,No,2.0,No
T5074,2025-03-20,Seattle,D1036,SUV,1.49,8.63,4.9,No,2.0,No
T5075,2025-04-23,New York,D1038,Compact,2.15,6.44,5.0,No,14.3,No
T5076,2025-05-28,Seattle,D1001,Luxury,6.32,23.45,4.8,Yes,3.4,No
T5077,2025-02-16,Seattle,D1027,Sedan,5.85,11.98,5.0,No,6.0,No
T5078,2025-03-26,Denver,D1031,Compact,28.56,42.39,4.8,No,43.4,No
T5079,2025-04-14,Seattle,D1000,Sedan,1.83,5.72,5.0,No,2.0,No
T5080,2025-01-14,Chicago,D1017,Sedan,14.17,22.96,5.0,No,33.3,No
T5081,2025-03-03,Chicago,D1019,Sedan,5.32,10.88,4.4,No,13.6,No
T5082,2025-02-09,Denver,D1018,Sedan,9.33,20.7,5.0,No,15.8,No
T5083,2025-06-03,Seattle,D1008,SUV,6.91,18.94,4.5,No,17.0,No
T5084,2025-03-14,Austin,D1037,Sedan,1.41,2.29,4.7,No,2.0,No
T5085,2025-04-07,Denver,D1020,SUV,19.04,32.74,4.3,No,34.9,No
T5086,2025-05-02,Denver,D1024,Luxury,15.67,32.25,4.6,No,28.7,No
T5087,2025-03-26,New York,D1028,Compact,6.71,13.79,4.7,Yes,13.1,No
T5088,2025-03-09,Austin,D1039,Sedan,0.8,1.66,4.3,No,4.4,No
T5089,2025-05-05,Seattle,D1002,Sedan,10.04,20.98,4.9,No,17.0,No
T5090,2025-06-12,New York,D1028,Compact,5.64,11.08,4.9,No,13.8,No
T5091,2025-03-04,Seattle,D1026,Sedan,10.16,19.67,4.4,Yes,14.2,No
T5092,2025-02-06,Chicago,D1029,Sedan,0.5,5.15,4.8,No,2.0,No
T5093,2025-01-19,Denver,D1022,Luxury,4.54,23.93,4.8,No,3.5,No
T5094,2025-05-04,New York,D1015,Sedan,3.46,9.84,4.8,No,15.1,No
T5095,2025-01-03,Seattle,D1003,SUV,8.59,14.08,4.3,No,14.9,No
T5096,2025-02-26,Chicago,D1039,Compact,8.38,11.16,4.9,No,15.4,No
T5097,2025-01-11,Austin,D1028,Compact,7.19,13.64,5.0,No,9.6,No
T5098,2025-05-19,Austin,D1033,Sedan,9.32,18.12,4.3,No,27.8,No
T5099,2025-03-28,New York,D1029,Luxury,13.93,36.59,3.3,No,21.0,No
T5100,2025-05-23,Austin,D1005,SUV,19.88,34.35,4.0,No,29.7,No
T5101,2025-06-13,Austin,D1006,Sedan,0.5,4.9,5.0,No,2.0,No
T5102,2025-06-12,Denver,D1019,Sedan,14.17,27.89,4.9,Yes,26.3,No
T5103,2025-04-10,Denver,D1023,Sedan,11.0,14.51,4.4,No,18.2,No
T5104,2025-01-26,Denver,D1039,Sedan,14.36,24.03,5.0,No,12.4,No
T5105,2025-01-26,Austin,D1034,SUV,8.26,16.85,4.5,No,25.7,No
T5106,2025-01-24,Chicago,D1038,Luxury,13.48,32.47,4.4,No,23.2,No
T5107,2025-05-22,Chicago,D1037,Compact,11.9,21.28,4.7,Yes,29.7,No
T5108,2025-02-03,Seattle,D1016,SUV,20.14,45.68,4.7,Yes,32.8,No
T5109,2025-02-02,Denver,D1033,Compact,21.65,34.52,4.4,No,31.5,No
T5110,2025-06-07,New York,D1033,Compact,5.25,9.68,4.3,No,11.8,No
T5111,2025-04-24,New York,D1005,Compact,7.49,14.12,4.3,No,5.7,No
T5112,2025-06-02,Seattle,D1018,Sedan,6.41,12.17,4.1,No,15.0,No
T5113,2025-02-25,Denver,D1028,SUV,0.5,8.33,4.3,No,2.0,No
T5114,2025-03-07,Austin,D1009,Sedan,6.55,22.77,3.8,Yes,10.3,No
T5115,2025-05-31,Seattle,D1035,Compact,13.84,23.73,3.7,No,23.1,No
T5116,2025-03-15,Seattle,D1019,Sedan,4.61,9.5,4.9,No,8.1,No
T5117,2025-04-05,New York,D1017,Sedan,9.26,13.23,4.1,No,18.3,No
T5118,2025-01-07,Seattle,D1017,Compact,7.22,16.24,5.0,No,10.2,No
T5119,2025-06-18,Denver,D1004,Compact,10.4,17.11,5.0,No,18.5,No
T5120,2025-04-05,Austin,D1020,SUV,6.93,26.75,4.8,Yes,13.5,No
T5121,2025-04-19,Denver,D1038,Sedan,9.66,29.42,4.1,Yes,13.2,No
T5122,2025-03-20,New York,D1014,Sedan,5.52,11.3,5.0,No,9.9,No
T5123,2025-03-25,New York,D1000,Sedan,3.71,9.34,5.0,No,7.0,No
T5124,2025-04-01,New York,D1025,SUV,6.9,15.54,4.2,No,15.7,No
T5125,2025-06-13,Denver,D1018,Compact,20.43,32.15,4.1,No,27.1,No
T5126,2025-01-23,Denver,D1006,Compact,2.08,4.32,5.0,No,2.0,No
T5127,2025-02-13,New York,D1032,Sedan,2.91,7.52,5.0,No,2.0,No
T5128,2025-02-07,Chicago,D1006,Compact,10.83,20.67,4.4,No,16.3,No
T5129,2025-05-07,Denver,D1036,SUV,0.5,7.83,4.2,No,2.0,No
T5130,2025-06-10,Austin,D1009,Sedan,0.5,4.95,4.4,No,2.0,No
T5131,2025-04-29,Denver,D1002,Compact,13.88,21.8,4.2,No,27.4,No
T5132,2025-04-29,Seattle,D1035,Luxury,8.86,24.69,4.6,No,11.9,No
T5133,2025-05-09,Chicago,D1003,Sedan,0.0,0.0,,No,2.2,Yes
T5134,2025-05-15,Seattle,D1039,Compact,4.9,10.73,5.0,No,4.6,No
T5135,2025-06-15,Austin,D1004,Compact,2.61,5.65,3.7,No,12.0,No
T5136,2025-02-08,Austin,D1005,Sedan,14.68,26.07,4.2,No,22.9,No
T5137,2025-01-22,Austin,D1035,Sedan,13.79,19.83,4.0,No,26.9,No
T5138,2025-05-15,New York,D1027,Sedan,10.1,18.24,5.0,No,12.2,No
T5139,2025-02-05,Chicago,D1004,Compact,9.81,14.32,4.1,No,15.9,No
T5140,2025-06-08,Chicago,D1038,Sedan,14.33,27.36,4.4,No,25.0,No
T5141,2025-04-16,Austin,D1015,Luxury,0.5,11.26,5.0,No,2.0,No
T5142,2025-05-01,Chicago,D1023,Sedan,1.77,5.26,4.1,No,4.0,No
T5143,2025-02-11,Chicago,D1038,Compact,8.0,16.88,4.6,No,11.1,No
T5144,2025-02-01,Austin,D1005,SUV,7.52,24.71,3.8,Yes,16.8,No
T5145,2025-04-17,New York,D1025,Sedan,7.38,20.56,4.9,No,23.7,No
T5146,2025-06-16,Austin,D1009,Compact,6.54,15.58,5.0,No,15.9,No
T5147,2025-01-02,New York,D1001,Compact,9.08,13.4,4.7,No,12.7,No
T5148,2025-03-19,New York,D1003,Compact,1.69,3.69,4.7,Yes,2.0,No
T5149,2025-05-28,Chicago,D1009,Compact,13.97,22.64,5.0,No,26.1,No
T5150,2025-04-03,New York,D1033,Sedan,7.3,13.8,4.8,Yes,16.9,No
T5151,2025-01-05,Austin,D1004,Compact,0.74,0.0,,No,1.2,Yes
T5152,2025-02-14,Denver,D1030,Sedan,1.14,0.0,,No,3.1,Yes
T5153,2025-03-21,Seattle,D1025,Luxury,3.7,17.47,5.0,No,7.9,No
T5154,2025-06-17,Austin,D1017,Compact,0.5,6.5,4.4,No,4.7,No
T5155,2025-05-08,Denver,D1023,SUV,0.5,5.97,5.0,No,6.8,No
T5156,2025-05-20,Austin,D1020,Compact,6.85,13.85,4.4,No,10.8,No
T5157,2025-04-25,New York,D1022,Sedan,0.5,5.54,5.0,No,7.8,No
T5158,2025-05-12,Chicago,D1001,Compact,0.5,3.77,5.0,Yes,2.0,No
T5159,2025-06-04,Chicago,D1028,SUV,0.5,8.84,4.6,No,2.0,No
T5160,2025-03-05,New York,D1001,Sedan,1.25,5.46,5.0,No,2.0,No
T5161,2025-06-06,Austin,D1031,Compact,12.06,20.45,3.0,No,16.2,No
T5162,2025-03-23,Austin,D1004,Sedan,8.3,17.1,3.9,No,11.9,No
T5163,2025-04-03,Seattle,D1014,Compact,10.19,18.21,4.8,No,23.3,No
T5164,2025-05-22,Chicago,D1039,SUV,13.91,26.34,4.8,No,18.1,No
T5165,2025-05-28,New York,D1008,Luxury,2.71,14.79,5.0,No,2.0,No
T5166,2025-06-13,Seattle,D1011,SUV,14.86,28.62,4.2,No,27.7,No
T5167,2025-02-11,Austin,D1014,Compact,25.82,38.15,5.0,No,43.0,No
T5168,2025-02-02,Austin,D1039,Sedan,5.14,10.88,5.0,No,12.7,No
T5169,2025-06-04,Austin,D1036,Compact,12.16,19.38,4.3,No,20.8,No
T5170,2025-05-27,Denver,D1039,Sedan,0.5,4.43,4.5,No,6.4,No
T5171,2025-06-25,Denver,D1019,Sedan,9.88,16.64,4.8,No,12.0,No
T5172,2025-03-23,Austin,D1025,Compact,2.94,8.68,4.8,No,2.0,No
T5173,2025-01-25,New York,D1018,SUV,9.28,17.3,4.2,No,23.0,No
T5174,2025-03-22,Chicago,D1010,Sedan,0.51,4.2,4.9,No,12.8,No
T5175,2025-03-03,Chicago,D1037,Sedan,15.11,25.98,4.2,No,22.0,No
T5176,2025-01-28,Denver,D1008,SUV,9.7,16.1,5.0,No,10.9,No
T5177,2025-05-22,Austin,D1004,Sedan,0.5,5.18,4.2,No,2.0,No
T5178,2025-01-25,Denver,D1023,SUV,0.5,10.41,5.0,No,2.7,No
T5179,2025-01-12,New York,D1008,Sedan,7.93,14.88,5.0,Yes,20.6,No
T5180,2025-04-11,Seattle,D1019,Sedan,1.21,0.0,,No,2.8,Yes
T5181,2025-04-17,Seattle,D1019,SUV,7.3,25.02,3.9,Yes,13.9,No
T5182,2025-01-14,Seattle,D1030,Compact,0.92,0.0,,No,3.5,Yes
T5183,2025-01-05,Denver,D1020,Sedan,6.46,13.51,4.3,No,6.4,No
T5184,2025-01-16,Chicago,D1033,Compact,3.72,10.53,5.0,No,5.0,No
T5185,2025-03-29,Seattle,D1022,Sedan,16.33,24.79,5.0,No,26.7,No
T5186,2025-03-13,Seattle,D1019,Compact,14.96,23.76,5.0,No,27.0,No
T5187,2025-03-31,Seattle,D1017,Compact,0.93,2.89,5.0,No,2.0,No
T5188,2025-02-07,Austin,D1002,Compact,8.35,12.73,5.0,No,13.7,No
T5189,2025-05-18,Austin,D1035,Sedan,17.2,30.36,5.0,No,29.0,No
T5190,2025-06-13,Chicago,D1003,Compact,4.5,10.98,5.0,No,15.9,No
T5191,2025-02-10,Denver,D1030,Sedan,19.73,36.8,3.8,No,26.2,No
T5192,2025-05-27,Chicago,D1034,Sedan,9.04,16.07,5.0,No,6.8,No
T5193,2025-01-10,Denver,D1031,Compact,11.88,15.55,4.8,No,23.9,No
T5194,2025-03-27,Austin,D1029,Luxury,1.01,13.49,4.2,No,5.0,No
T5195,2025-01-29,Austin,D1010,Sedan,2.4,8.03,4.4,Yes,2.0,No
T5196,2025-06-13,Denver,D1027,Sedan,24.21,39.9,5.0,No,43.2,No
T5197,2025-03-08,Denver,D1015,Sedan,11.08,21.23,4.5,No,15.0,No
T5198,2025-03-02,New York,D1007,Sedan,9.93,20.37,4.1,No,23.1,No
T5199,2025-06-13,Austin,D1023,Sedan,10.83,20.15,4.0,No,18.0,No
